Type,ILCR_mean,ILCR_0.05,ILCR_0.25,ILCR_0.5,ILCR_0.75,ILCR_0.95,HQ_mean,HQ_0.05,HQ_0.25,HQ_0.5,HQ_0.75,HQ_0.95
"SN, V",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"SN, Mn",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"**Sum, SN",2.933149584029908e-07,0.0,1.5857248462572637e-08,1.1749263290389289e-07,4.875967276211342e-07,1.0283596770057716e-06,0.006093581079791638,0.0,0.00032943232672208114,0.0024408945550414437,0.010129760207859087,0.021364041933427398
"mobile, As",8.34351282642149e-07,1.6987009816833076e-07,4.842144768131323e-07,7.065867664392301e-07,1.1240322332129501e-06,1.8773747528563299e-06,0.01293567879185419,0.002633644931050844,0.007507201185794625,0.010954833580753272,0.017426856317028616,0.02910658529580274
"mobile, Cr_6",2.3011780012894434e-07,4.685092971199968e-08,1.3354850949826617e-07,1.9487977747013023e-07,3.1001309659630163e-07,5.177883190601052e-07,0.0038352966685388746,0.0007808488284769597,0.002225808491477092,0.003247996290934369,0.0051668849428987045,0.008629805317045448
"mobile, Cr_3",,,,,,,0.00044745127799129206,9.109902998797902e-05,0.00025967765733614454,0.0003789329006048517,0.0006028032433315677,0.0010068106203109215
"mobile, Cu",,,,,,,9.90941551348224e-06,2.0175115938402365e-06,5.750913971379022e-06,8.391983101891201e-06,1.3349895519045695e-05,2.2297186913480848e-05
"mobile, Ni",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"mobile, Pb",7.065612712997169e-09,1.4385263738978572e-09,4.100517413185907e-09,5.983652861392965e-09,9.518744205268168e-09,1.589834305621952e-08,0.003925340368979379,0.0007991813133085666,0.00227806521380278,0.00332425156668705,0.005288191188599422,0.008832412747965243
"mobile, Zn",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"mobile, V",,,,,,,0.0001441907395075951,2.9356573885228477e-05,8.368087272649891e-05,0.0001221107589797407,0.00019425275937025492,0.0003244437439947522
"mobile, Mn",,,,,,,0.009136335700995748,0.0018601160862511917,0.0053022582975331975,0.007737285283036701,0.012308407783413248,0.020557679164048246
"**Sum, mobile",1.0715346954840903e-06,2.181595542542283e-07,6.218635037245844e-07,9.074501967707532e-07,1.4435640740145198e-06,2.4110614149726544e-06,0.030434202963380563,0.00619626427455461,0.017662442632641717,0.02577380236409788,0.04100074613016086,0.06848003407608083
"original, As",4.889734412437943e-06,7.334348979412271e-07,1.955865053159045e-06,3.4410239939395652e-06,6.814018318356289e-06,1.2302897920852269e-05,0.07580983580018268,0.011371083681276282,0.03032348917563721,0.05334920917207544,0.10564369478637467,0.1907426032943167
"original, Cr_6",2.097542068242872e-06,3.143855840448533e-07,1.0407333283843427e-06,1.9411393566100327e-06,2.708399213500708e-06,4.5317915538852084e-06,0.03495903446819089,0.005239759733702639,0.01734555547182023,0.032352322607831746,0.04513998688841988,0.07552985922596775
"original, Cr_3",,,,,,,0.0040785540212441825,0.0006113053022586001,0.002023648138356822,0.003774437637538955,0.0052663318035912,0.008811816909599547
"original, Cu",,,,,,,0.0008540914098932232,6.962037292552397e-05,0.0002376244824747525,0.0005718643706596098,0.0012322654499907022,0.002445862545437263
"original, Ni",7.253639490200509e-08,1.7576175629273992e-08,4.5360137119191834e-08,6.55714378830168e-08,9.500298415874229e-08,1.4093934020740534e-07,0.021588212332681045,0.005231004545978232,0.013500040536775719,0.019515308499825135,0.02827469709554822,0.041946231357871525
"original, Pb",7.405810718708816e-08,1.0250921224918837e-08,3.392314935783847e-08,6.138645871034969e-08,9.095069672076015e-08,1.8300879497096463e-07,0.041143392597351315,0.005694956196705085,0.018846193957431753,0.03410358793670806,0.05052816449563916,0.10167155205893968
"original, Zn",,,,,,,1.1748841726034123e-13,3.5423231851304756e-14,6.770946928776523e-14,9.676643689671934e-14,1.578393082286396e-13,2.6401002542375954e-13
"original, V",,,,,,,0.0009482918741954703,0.00024223071857893804,0.00046934665795054234,0.0007647877601185003,0.00127367804641104,0.002137014062253018
"original, Mn",,,,,,,0.07847655522698886,0.023500296059751503,0.050457701349132925,0.07747614226833083,0.10236841212304117,0.1445372705792507
"**Sum, original",7.1338709827699085e-06,1.0756475788402733e-06,3.075881668020418e-06,5.509121247142964e-06,9.7083712127365e-06,1.715863760991585e-05,0.25785796773084513,0.05196025661121222,0.13320359976964768,0.22190766025318504,0.3397272306891739,0.5678222100339002
