date,AirKorea,SNU,NO3-,SO42-,NH4+,K+,Na+,Cl-,F-,PO43-,Mg2+,Ca2+,OC,EC,Mg,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Pb
2020-01-25,42,48.37364,10.9320704,4.990428102,5.150843671,0.401038923,0.144123363,0.477486968,,0.002506493,0.088980511,0.161668816,0.286157982,0.280290968,1.020931868,10.55021141,0.881627007,0.04012,0.06707,0.16074,1.00413,0.3048,0.20956,0.03624,0.0043,0.00016,0.0007,0.00757,0.12099,0.00066,0.00185,0.02908
2020-01-30,10,13.82802,2.252084204,1.599142707,1.236954429,0.087727264,0.2606753,0.175454529,0.001253247,0.001253247,0.028824673,0.067675318,0.068719691,0.069639412,0.986793092,4.266427556,0.74607998,0.05541,0.182,0.34928,3.78961,2.48631,0.76555,0.04707,0.01132,0.00032,0.00283,0.02608,0.28365,0.00139,0.02422,0.1776
2020-02-01,56,51.75292,9.045934214,5.644622845,5.744882576,0.52511034,0.192999982,2.186915379,0.006266233,0.00375974,0.060155838,0.127831157,0.319160143,0.263498474,1.211240954,11.99229808,1.275001116,0.02797,0.06589,0.1334,1.65644,0.78036,0.22087,0.0341,0.00611,,0.00264,0.01564,0.15661,0.00137,0.01043,0.05775
2020-02-04,18,19.18265,4.93904499,2.753382858,2.854895835,0.230597381,0.147883103,0.526363587,,0.022558439,0.023811686,0.075194798,0.158605324,0.137024159,1.157498981,6.193724614,0.775018192,0.03594,0.11461,0.2512,1.76004,0.96143,0.36728,0.05555,0.00789,0.00028,0.0025,0.01629,0.17357,0.00119,0.00375,0.0444
2020-02-07,22,26.3779,4.394572518,2.574944835,2.585599779,0.317280559,0.108917207,0.548137682,,,0.015390475,0.058010251,0.143644432,0.124524886,1.153539962,6.987600828,0.872428455,0.03409,0.11173,0.23712,1.89557,1.11837,0.36493,0.05815,0.00893,0.00032,0.00316,0.01879,0.24931,0.00148,0.00806,0.05811
2020-02-12,35,40.70821,9.762791289,3.495304866,4.365058031,0.231850628,0.151642843,0.803331093,0.001253247,0.002506493,0.0187987,0.040103892,0.242503224,0.230283227,1.053065076,8.122364229,0.983329267,0.02708,0.1394,0.30594,4.4062,1.65437,0.57467,0.06351,0.01325,0.00072,0.00811,0.04364,0.41753,0.00343,0.00524,0.11767
2020-02-14,66,74.8015,27.19310683,11.16916072,12.10972162,0.319733356,0.309696883,1.438083209,,0.005735127,0.024374292,0.075990439,0.672762312,0.671289346,1.002194235,11.06496698,0.901885969,0.03114,0.06767,0.11995,1.20295,0.63444,0.28783,0.0348,0.00496,0.00015,0.00161,0.01229,0.15522,0.00096,0.00177,0.04745
2020-02-18,13,18.75,6.583304575,1.674337505,2.79724649,0.194253228,0.125324664,0.476233721,0.005012987,0.001253247,0.050129865,0.096499991,0.155402583,0.141064363,1.101643103,5.155371126,0.705142169,0.02184,0.10339,0.23392,2.30666,1.75273,0.36273,0.06012,0.01084,0.00018,0.00557,0.03183,0.32314,0.0026,0.01546,0.12135
2020-02-20,45,58.24972,20.04693318,3.265960732,7.119694135,0.285740233,0.206785695,1.243220662,0.001253247,0.005012987,0.036344152,0.114045444,0.395538563,0.39137848,1.010629308,8.885063667,1.088364338,0.04089,0.10613,0.28311,1.47714,1.20735,0.15247,0.06199,0.00881,0.00029,0.00326,0.01838,0.2163,0.00196,0.00652,0.05978
2020-02-24,20,28.27692,6.929200647,2.267123163,3.46773344,0.165428556,0.206785695,1.060246653,0.001253247,0.017545453,0.028824673,0.12281817,0.192651858,0.158993033,1.211699996,5.78566919,0.80088861,0.03475,0.06503,0.14812,0.91464,0.25682,0.21094,0.0411,0.00827,0.00014,0.00106,0.00935,0.11599,0.00067,0.00221,0.04255
2020-02-26,9,12.53656,2.135869565,1.518812709,1.190217391,0.141722408,0.141722408,0.141722408,,0.002508361,0.015050167,0.048913043,0.066123188,0.066091441,1.000480363,3.662721037,0.642203437,0.01862,0.05845,0.13447,1.43182,0.27255,0.16511,0.03316,0.00468,,0.00167,0.0086,0.12644,0.00084,0.00138,0.0341
2020-02-29,18,22.27792,7.340158796,2.877141663,3.174258253,0.147931467,0.080234016,0.134141245,,0.001253656,0.015043878,0.043877977,0.176347681,0.178330109,0.988883377,4.422438646,0.568581086,0.02515,0.09154,0.1802,2.49069,1.06778,0.31827,0.04438,0.00774,0.00021,0.0017,0.01481,0.19278,0.00101,0.00569,0.0617
2020-03-03,30,41.71882,11.47472619,3.962765861,5.299980021,0.129084403,0.28323374,0.798318107,0.001253247,0.002506493,0.012532466,0.050129865,0.294443334,0.267633851,1.100172244,8.543966874,0.965548557,0.03094,0.0667,0.16481,3.00112,0.54711,0.33005,0.03,0.00487,,0.00138,0.01498,0.14063,0.00083,0.00419,0.09916
